Created,Duration,PlayedDuration,FileName,IsPlayInterrupted,PassengerCount,PlayStarted,PlayStopped,ResourceId,Route,StartedLatitude,StartedLongitude,StoppedLatitude,StoppedLongitude,Trip,UnitName,VehicleId
12/29/2017 1:59:48 PM,30,30,ucvpr2c5.jpg,False,0,12/29/2017 1:59:48 PM,12/29/2017 2:00:18 PM,6b9fa9b6-7eb3-4bf8-bcbf-3da7ecc4886f,ROUTE_12/29/2017 1:59:48 PM,33.019844,-96.698883,,,,TFT-83-40-E1,123456789
12/29/2017 1:59:48 PM,30,22,ucvpr2c5.jpg,True,0,12/29/2017 1:59:48 PM,12/29/2017 2:00:10 PM,6b9fa9b6-7eb3-4bf8-bcbf-3da7ecc4886f,ROUTE_12/29/2017 1:59:48 PM,33.019844,-96.698883,,,,TFT-83-40-E1,123456789
12/29/2017 1:59:48 PM,30,21,ucvpr2c5.jpg,True,0,12/29/2017 1:59:48 PM,12/29/2017 2:00:09 PM,6b9fa9b6-7eb3-4bf8-bcbf-3da7ecc4886f,ROUTE_12/29/2017 1:59:48 PM,33.019844,-96.698883,,,,TFT-83-40-E1,123456789
12/29/2017 1:59:48 PM,30,30,1fgfkx0n.jpg,False,0,12/29/2017 1:59:48 PM,12/29/2017 2:00:18 PM,1034407e-098f-4e40-a368-2347d8ece2b2,ROUTE_12/29/2017 1:59:48 PM,33.019844,-96.698883,,,,TFT-83-40-E1,123456789
12/29/2017 1:59:48 PM,30,13,a2viscrf.jpg,True,0,12/29/2017 1:59:48 PM,12/29/2017 2:00:01 PM,601253f0-8dc0-42ea-898d-c314a5da1809,ROUTE_12/29/2017 1:59:48 PM,33.019844,-96.698883,,,,TFT-83-40-E1,123456789
12/29/2017 1:59:48 PM,30,15,a2viscrf.jpg,True,0,12/29/2017 1:59:48 PM,12/29/2017 2:00:03 PM,601253f0-8dc0-42ea-898d-c314a5da1809,ROUTE_12/29/2017 1:59:48 PM,33.019844,-96.698883,,,,TFT-83-40-E1,123456789
12/29/2017 1:59:48 PM,30,30,xowmpqlv.jpg,False,0,12/29/2017 1:59:48 PM,12/29/2017 2:00:18 PM,5634dbb0-e7fd-47c6-a7f4-4956607e108b,ROUTE_12/29/2017 1:59:48 PM,33.019844,-96.698883,,,,TFT-83-40-E1,123456789
12/29/2017 1:59:48 PM,30,11,mfibdyz0.jpg,True,0,12/29/2017 1:59:48 PM,12/29/2017 1:59:59 PM,3cb942dc-4be2-4a00-a4d3-bf2f1047dad6,ROUTE_12/29/2017 1:59:48 PM,33.019844,-96.698883,,,,TFT-83-40-E1,123456789
12/29/2017 1:59:48 PM,30,22,mfibdyz0.jpg,True,0,12/29/2017 1:59:48 PM,12/29/2017 2:00:10 PM,3cb942dc-4be2-4a00-a4d3-bf2f1047dad6,ROUTE_12/29/2017 1:59:48 PM,33.019844,-96.698883,,,,TFT-83-40-E1,123456789
12/29/2017 1:59:48 PM,30,30,mfibdyz0.jpg,False,0,12/29/2017 1:59:48 PM,12/29/2017 2:00:18 PM,3cb942dc-4be2-4a00-a4d3-bf2f1047dad6,ROUTE_12/29/2017 1:59:48 PM,33.019844,-96.698883,,,,TFT-83-40-E1,123456789
12/29/2017 1:59:48 PM,30,30,y3fqpqmg.jpg,False,0,12/29/2017 1:59:48 PM,12/29/2017 2:00:18 PM,d79f3537-30c8-4532-b07a-2bab2684c205,ROUTE_12/29/2017 1:59:48 PM,33.019844,-96.698883,,,,TFT-83-40-E1,123456789
